level,chars,pinyin,new_words
三级,了,liǎo,[]
三级,和,huó,[]
三级,都,dū,[]
三级,被,bèi,[]
三级,将,jiāng,"['将来', '将要']"
三级,并,bìng,[]
三级,大,dài,"['大会', '大大', '大于', '不大', '大人', '大都']"
三级,把,bǎ,[]
三级,及,jí,"['来不及', '及时', '以及']"
三级,只,zhī,"['只不过', '只有', '只好', '只得', '只是', '只要', '只能']"
三级,内,nèi,"['内向', '内在', '以内', '之内', '内地', '在内']"
三级,至,zhì,"['以至于', '至于', '不至于']"
三级,此,cǐ,"['此前', '此时', '由此看来', '由此', '至此', '从此', '此事', '为此', '此后']"
三级,较,jiào,['比较']
三级,约,yuē,"['约会', '大约']"
三级,区,qū,"['小区', '地区']"
三级,死,sǐ,[]
三级,曾,céng,['不曾']
三级,总,zǒng,"['总的来说', '总之', '总是']"
三级,另,lìng,[]
三级,达,dá,"['达到', '达成', '到达', '长达']"
三级,每,měi,['每当']
三级,处,chǔ,"['处长', '处在', '去处', '好处', '此处', '到处', '处于', '处处', '处分', '长处', '用处']"
三级,种,zhǒng,"['多种', '种种']"
三级,各,gè,"['各个', '各地', '各种', '各自']"
三级,连,lián,['一连']
三级,美,měi,"['美人', '美好', '美元', '美女']"
三级,制,zhì,"['制约', '制作', '制成']"
三级,仍,réng,[]
三级,台,tái,"['站台', '看台', '后台', '上台', '台上', '下台', '前台', '出台']"
三级,据,jù,"['据此', '占据', '据说']"
三级,反,fǎn,"['反正', '反而', '反过来', '反省', '反对', '反应', '反问']"
三级,性,xìng,"['女性', '个性', '本性', '性能', '天性', '中性', '一次性', '性别', '人性']"
三级,指,zhǐ,"['指向', '指着', '指出', '指点']"
三级,派,pài,"['派别', '派出']"
三级,类,lèi,"['类别', '之类', '人类', '分类', '同类', '种类']"
三级,按,àn,"['按时', '按说']"
三级,线,xiàn,"['第一线', '前线', '一线', '路线', '天线', '线路', '线条', '无线', '在线']"
三级,拍,pāi,[]
三级,金,jīn,"['金钱', '美金']"
三级,式,shì,"['正式', '新式']"
三级,属,shǔ,"['金属', '属于', '下属', '属性', '所属', '家属']"
三级,强,qiáng,"['强制', '加强', '强占', '强行', '要强', '强大', '强加']"
三级,谈,tán,"['谈到', '谈话', '谈起', '会谈', '谈不上']"
三级,张,zhāng,['开张']
三级,任,rèn,"['出任', '上任', '前任', '连任', '就任', '任期']"
三级,转,zhuǎn,"['转向', '转型', '好转', '转变', '转让', '转达', '转学']"
三级,抓,zhuā,['抓住']
三级,仅,jǐn,"['仅次于', '不仅', '不仅仅', '仅仅']"
三级,需,xū,"['内需', '需要']"
