level,percentage,cum_percentage
一级,50.6701843301158,50.6701843301158
二级,17.260424402995703,67.93060873311151
三级,11.426207338130004,79.35681607124151
四级,5.978635079100347,85.33545115034185
五级,3.3093735177144525,88.6448246680563
六级,3.2403424131108487,91.88516708116715
高等,6.683128986355028,98.56829606752218
N/A,1.4317039324778107,100.0
